name,mac address,encryption,lat,lon
Jackie,B0:B9:8A:20:30:44,WPA+AES-CCM WPA+PSK,32.488437,-92.162922
NETGEAR22,B0:B9:8A:40:0B:A3,WPA+AES-CCM WPA+PSK,32.492478,-92.163342
royale1979,B0:BE:76:CC:44:39,WPA+AES-CCM WPA+PSK WPA+TKIP,32.485066,-92.160520
None,B0:EE:7B:CB:A1:97,WPA+AES-CCM WPA+PSK,32.494534,-92.178056
None,B2:4F:B8:68:46:AF,WPA+AES-CCM WPA+TKIP,32.488445,-92.163593
None,B2:4F:B8:6D:4E:09,WPA+AES-CCM WPA+TKIP,32.493816,-92.123596
None,B2:4F:B8:6D:90:8A,WPA+AES-CCM WPA+TKIP,32.493115,-92.166434
None,B2:4F:B8:9A:25:0A,WPA+AES-CCM WPA+TKIP,32.491101,-92.133731
None,B2:CA:B5:C9:0C:F0,WPA+AES-CCM WPA+PSK,32.484978,-92.161095
None,B2:FC:0D:B3:99:6C,WPA+AES-CCM WPA+PSK,32.495213,-92.179001
None,B2:FC:0D:DD:8A:FA,WPA+AES-CCM WPA+PSK,32.493167,-92.128386
None,B2:FC:0D:E7:37:2F,WPA+AES-CCM WPA+PSK,32.488453,-92.142303
5c7e4a49787eb17eb642f37e34d44cd2,B4:A5:EF:E1:F6:97,WPA+AES-CCM WPA+PSK,32.495297,-92.124906
05edd9d948e7b3ebd732c4eefb7ca02f,B4:A5:EF:E2:82:4D,WPA+AES-CCM WPA+PSK,32.488491,-92.167042
DIRECT-C3-HP OfficeJet Pro 6960,B4:B6:86:41:B3:C4,WPA+AES-CCM WPA+PSK,32.492397,-92.163516
baby girl,B4:F7:A1:73:47:9A,WPA+AES-CCM WPA+PSK WPA+TKIP,,
None,B6:7C:9C:04:36:33,WPA+AES-CCM WPA+PSK,32.493098,-92.164457
None,B6:7C:9C:43:B1:08,WPA+AES-CCM WPA+PSK,32.488516,-92.168037
None,B6:7C:9C:8D:FF:CE,WPA+AES-CCM WPA+PSK,32.493436,-92.129981
